name,pick,xVORP,xVORP_impact,Peak Impact Rating,Immediate Impact Rating,ceiling_player,floor_player,ceiling_player_rating,floor_player_rating,year
Juan Núñez,36,0.594230206,0.093791472,3.96,1.17,Josh Giddey,Killian Hayes,"{1.0: 0.5, 2.0: 1.8, 3.0: 1.9}","{1.0: -0.6, 2.0: -1.0, 3.0: -0.2, 4.0: -0.9}",2024
Jaylon Tyson,20,0.251880645,-0.079796368,1.68,-1,Anthony Edwards,Dwayne Bacon,"{1.0: 2.0, 2.0: 3.7, 3.0: 2.1, 4.0: -0.1}","{1.0: -0.5, 2.0: -0.3, 3.0: -0.8, 4.0: -1.5}",2024
Pacome Dadiet,25,0.560763892,-0.106658957,3.74,-1.33,Usman Garuba,Sekou Doumbouya,"{1.0: 0.1, 2.0: 0.2, 3.0: 0.0}","{1.0: -1.0, 2.0: 0.1, 3.0: -0.9}",2024
Ryan Dunn,28,0.409907645,0.287027242,2.73,3.59,Robert Williams,Josh Huestis,"{1.0: 3.4, 2.0: 2.0, 3.0: 0.3, 4.0: 1.1, 5.0: 0.1, 6.0: 0.7}","{1.0: 0.1, 2.0: 0.0, 3.0: -0.5}",2024
Kevin McCullar,57,0.176560261,-0.043695943,1.18,-0.55,R.J. Hunter,Dwayne Bacon,"{1.0: 0.0, 2.0: 0.0, 3.0: 0.0, 4.0: 0.0}","{1.0: -0.5, 2.0: -0.3, 3.0: -0.8, 4.0: -1.5}",2024
AJ Johnson,23,0.028488249,-0.263529657,0.19,-3.29,Kevin Porter Jr.,Dragan Bender,"{1.0: 0.2, 2.0: -0.3, 3.0: -0.5, 4.0: 1.3}","{1.0: -0.4, 2.0: -0.1, 3.0: -0.1, 4.0: -0.9, 5.0: 0.0, 6.0: -0.5}",2024
Jonathan Mogbo,31,0.870471453,0.472295487,5.8,5.9,Anthony Davis,Brice Johnson,"{1.0: 4.0, 2.0: 5.4, 3.0: 2.1, 4.0: 5.9, 5.0: 5.3, 6.0: 5.4, 7.0: 6.7, 8.0: 4.9, 9.0: 4.0, 10.0: 2.0, 11.0: 3.2, 12.0: 2.0}","{1.0: 0.0, 2.0: 0.1, 3.0: 0.0, 4.0: 0.0}",2024
Jamal Shead,45,0.363064283,0.08626464,2.42,1.08,Tre Jones,Peyton Siva,"{1.0: -0.1, 2.0: 0.9, 3.0: 0.5, 4.0: 0.4}",{1.0: -0.2},2024
Ajay Mitchell,38,0.3121788,-0.141705774,2.08,-1.77,Trae Young,Jawun Evans,"{1.0: 2.2, 2.0: 3.1, 3.0: 0.9, 4.0: 3.0, 5.0: 4.8, 6.0: 3.4}","{1.0: -0.6, 2.0: -0.1, 3.0: 0.0, 4.0: -0.1}",2024
Oso Ighodaro,40,0.405149596,0.16916078,2.7,2.11,Bam Adebayo,Dewan Hernandez,"{1.0: 2.7, 2.0: 3.3, 3.0: 1.8, 4.0: 2.3, 5.0: 2.7, 6.0: 0.6, 7.0: 3.7}",{1.0: -0.1},2024
Cam Christie,46,0.360573553,-0.152300686,2.4,-1.9,Zach LaVine,Joshua Primo,"{1.0: 2.7, 2.0: -0.1, 3.0: 0.3, 4.0: 1.5, 5.0: 0.5, 6.0: 2.4, 7.0: 2.6, 8.0: 3.1, 9.0: 0.9, 10.0: -1.3}","{1.0: -0.1, 2.0: -0.1, 3.0: -0.7}",2024
Nikola Djurisic,43,0.284872131,-0.130063846,1.9,-1.63,Luka Dončić,Killian Hayes,"{1.0: 5.9, 2.0: 5.4, 3.0: 5.1, 4.0: 3.4, 5.0: 6.6, 6.0: 8.0}","{1.0: -0.6, 2.0: -1.0, 3.0: -0.2, 4.0: -0.9}",2024
Adem Bona,41,0.536403133,0.122775341,3.58,1.53,Joel Embiid,Robert Sacre,"{1.0: 3.8, 2.0: 2.5, 3.0: 6.5, 4.0: 1.3, 5.0: 3.8, 6.0: 4.5, 7.0: 2.6, 8.0: 6.4}","{1.0: -0.4, 2.0: -0.4, 3.0: -0.4, 4.0: -0.2}",2024
KJ Simpson,42,0.43959227,0.062149793,2.93,0.78,Jalen Brunson,Tyler Ulis,"{1.0: 0.3, 2.0: 5.4, 3.0: 1.2, 4.0: 3.5, 5.0: 0.1, 6.0: 1.9}","{1.0: 0.0, 2.0: -0.1, 3.0: -1.0}",2024
Jaylen Wells,39,0.182640284,-0.121814406,1.22,-1.52,Trey Murphy III,Isaiah Livers,"{1.0: 1.9, 2.0: 0.2, 3.0: 2.3}","{1.0: -0.1, 2.0: 0.0, 3.0: -0.5}",2024
Dillon Jones,26,0.429735289,0.160464349,2.86,2.01,Ben Simmons,Chandler Hutchison,"{1.0: 0.4, 2.0: 0.7, 3.0: 3.8, 4.0: 4.5, 5.0: 2.8, 6.0: 2.3}","{1.0: -0.4, 2.0: -0.2, 3.0: -0.3, 4.0: -0.1, 5.0: -0.1, 6.0: 0.0}",2024
Pelle Larsson,44,0.120564691,-0.063792306,0.8,-0.8,Donte DiVincenzo,Kim English,"{1.0: 1.0, 2.0: -0.1, 3.0: 1.3, 4.0: 1.3, 5.0: -0.3, 6.0: 0.2, 7.0: 0.0, 8.0: 3.2}",{1.0: -0.2},2024
Justin Edwards,66,0.108831854,-0.260221543,0.73,-3.25,Arnoldas Kulboka,Paul Zipser,{1.0: 0.0},"{1.0: -0.8, 2.0: -0.5}",2024
Harrison Ingram,48,0.293723674,-0.031083127,1.96,-0.39,Franz Wagner,Jacob Evans,"{1.0: 1.3, 2.0: 0.8, 3.0: 1.9}","{1.0: -0.5, 2.0: -0.3, 3.0: -0.5, 4.0: 0.0}",2024
Keshad Johnson,71,0.154678516,-0.074573231,1.03,-0.93,Chuma Okeke,Kai Jones,"{1.0: -0.2, 2.0: 0.1, 3.0: 0.8, 4.0: 0.1}","{1.0: -0.1, 2.0: -0.3}",2024
Melvin Ajinca,52,0.152114169,-0.201032126,1.01,-2.51,Rodney Hood,Mario Hezonja,"{1.0: 0.0, 2.0: -1.0, 3.0: -0.9, 4.0: 0.2, 5.0: 1.7, 6.0: -0.2, 7.0: 0.0, 8.0: 0.0, 9.0: 0.1, 10.0: -0.2, 11.0: -0.2, 12.0: 0.7, 13.0: 0.4, 14.0: 0.3, 15.0: 0.8, 16.0: 0.0}","{1.0: 0.6, 2.0: -0.2, 3.0: -0.4, 4.0: -0.7, 5.0: -0.5}",2024
Cam Spencer,54,0.388575079,0.102194744,2.59,1.28,Monte Morris,Chris Duarte,"{1.0: 0.4, 2.0: 0.1, 3.0: -0.1, 4.0: 0.3, 5.0: 1.7, 6.0: 0.5, 7.0: 1.1, 8.0: 1.1, 9.0: 0.7}","{1.0: -0.1, 2.0: -0.6, 3.0: -0.2}",2024
Jalen Bridges,63,0.150191118,-0.018440664,1,-0.23,Trey Murphy III,Isaiah Livers,"{1.0: 1.9, 2.0: 0.2, 3.0: 2.3}","{1.0: -0.1, 2.0: 0.0, 3.0: -0.5}",2024
Tristen Newton,50,0.366013858,0.06759712,2.44,0.84,Tyus Jones,Tyler Ulis,"{1.0: 1.3, 2.0: 0.6, 3.0: -0.1, 4.0: 1.7, 5.0: 0.8, 6.0: 1.1, 7.0: 1.4, 8.0: 0.9, 9.0: 0.4}","{1.0: 0.0, 2.0: -0.1, 3.0: -1.0}",2024
